region,event_type,event_year,threshold_percent,event_date
Foxe Basin,freeze-up,2020,90.0,2021-01-01 07:07:11.022782
Foxe Basin,break-up,2021,10.0,2021-08-10 10:55:27.654164
Foxe Basin,break-up,2021,50.0,2021-07-12 05:14:21.064147
Foxe Basin,break-up,2021,90.0,2021-05-17 20:04:58.961937
Foxe Basin,freeze-up,2021,10.0,2021-11-09 07:54:59.892202
Foxe Basin,freeze-up,2021,50.0,2021-11-29 04:18:31.480214
Foxe Basin,freeze-up,2021,90.0,2022-01-08 03:50:57.998289
Foxe Basin,break-up,2022,10.0,2022-07-29 12:00:56.668124
Foxe Basin,break-up,2022,50.0,2022-07-04 01:45:28.382502
Foxe Basin,break-up,2022,90.0,2022-05-06 22:03:38.181818
Foxe Basin,freeze-up,2022,10.0,2022-10-31 22:22:54.009819
Foxe Basin,freeze-up,2022,50.0,2022-11-15 06:12:36.035328
Foxe Basin,freeze-up,2022,90.0,2022-12-31 02:20:45.923460
Foxe Basin,break-up,2023,10.0,2023-08-14 06:54:00.733197
Foxe Basin,break-up,2023,50.0,2023-06-24 13:32:25.945945
Foxe Basin,break-up,2023,90.0,2023-05-11 14:48:53.333333
Foxe Basin,freeze-up,2023,10.0,2023-11-05 02:38:39.327731
Foxe Basin,freeze-up,2023,50.0,2023-12-10 01:38:38.878589
Foxe Basin,freeze-up,2023,90.0,2024-01-21 16:04:08.867699
Foxe Basin,break-up,2024,10.0,2024-07-27 06:30:30.113329
Foxe Basin,break-up,2024,50.0,2024-07-02 20:59:55.629299
Foxe Basin,break-up,2024,90.0,2024-05-25 02:45:19.809637
Foxe Basin,freeze-up,2024,10.0,2024-11-23 13:02:19.320531
Foxe Basin,freeze-up,2024,50.0,2024-12-04 15:46:36.441568
Foxe Basin,freeze-up,2024,90.0,2025-02-03 03:15:04.433497
Foxe Basin,break-up,2025,10.0,2025-08-01 15:06:21.993569
Foxe Basin,break-up,2025,50.0,2025-06-27 00:42:55.609756
Foxe Basin,break-up,2025,90.0,2025-05-08 07:31:46.468350
Foxe Basin,freeze-up,2025,10.0,2025-11-24 19:27:06.293706
Foxe Basin,freeze-up,2025,50.0,2025-12-12 11:33:37.433777
Foxe Basin,freeze-up,2025,90.0,2026-01-28 05:21:06.101694
Foxe Basin,break-up,2026,10.0,2026-07-23 02:45:50.095969
Foxe Basin,break-up,2026,50.0,2026-06-26 18:26:26.832597
Foxe Basin,break-up,2026,90.0,2026-05-05 02:23:12.592592
Foxe Basin,freeze-up,2026,10.0,
Foxe Basin,freeze-up,2026,50.0,
Foxe Basin,freeze-up,2026,90.0,
Gulf of Boothia,break-up,1978,10.0,
Gulf of Boothia,break-up,1978,50.0,
Gulf of Boothia,break-up,1978,90.0,
Gulf of Boothia,freeze-up,1978,10.0,
Gulf of Boothia,freeze-up,1978,50.0,
Gulf of Boothia,freeze-up,1978,90.0,
Gulf of Boothia,break-up,1979,10.0,
Gulf of Boothia,break-up,1979,50.0,
Gulf of Boothia,break-up,1979,90.0,1979-07-02 19:18:20.244498
Gulf of Boothia,freeze-up,1979,10.0,
Gulf of Boothia,freeze-up,1979,50.0,
Gulf of Boothia,freeze-up,1979,90.0,1979-10-12 10:22:02.740814
Gulf of Boothia,break-up,1980,10.0,
Gulf of Boothia,break-up,1980,50.0,1980-08-20 17:43:18.595110
Gulf of Boothia,break-up,1980,90.0,1980-07-05 17:48:23.225806
Gulf of Boothia,freeze-up,1980,10.0,
Gulf of Boothia,freeze-up,1980,50.0,1980-09-15 03:09:12.215680
