region,year,relative_mean_coverage_percent,absolute_mean_coverage_percent,relative_mean_ice_area_km2,absolute_mean_ice_area_km2
Gulf of Boothia,2002,78.71345138656866,92.79318409622452,80681.28767123287,95113.01369863014
Gulf of Boothia,2003,82.22996992983629,98.47477447377213,84285.71917808219,100936.64383561644
Gulf of Boothia,2004,83.81177528988405,95.67839530854326,85907.06967213115,98070.35519125684
Gulf of Boothia,2005,79.21838957567658,92.28199131306381,81198.8493150685,94589.04109589041
Gulf of Boothia,2006,70.4319746074173,81.56698964249917,72192.77397260274,83606.16438356164
Gulf of Boothia,2007,71.02187103240895,81.77246909455395,72797.41780821918,83816.78082191781
Gulf of Boothia,2008,73.82018525922965,84.50786352125816,75665.68989071039,86620.56010928961
Gulf of Boothia,2009,76.84082860006683,88.86568660207149,78761.8493150685,91087.32876712328
Gulf of Boothia,2010,75.38032743067157,88.92081523554961,77264.83561643836,91143.83561643836
Gulf of Boothia,2011,70.51277647844971,82.07317073170732,72275.59589041096,84125.0
Gulf of Boothia,2012,73.81072904171664,85.21757963481275,75655.99726775957,87348.01912568306
Gulf of Boothia,2013,78.26354827931841,89.26662211827598,80220.13698630137,91498.28767123287
Gulf of Boothia,2014,79.25836952890077,92.04143000334112,81239.82876712328,94342.46575342465
Gulf of Boothia,2015,75.94207150016706,87.22853324423656,77840.62328767123,89409.24657534246
Gulf of Boothia,2016,71.23578568572572,81.74896707983474,73016.68032786885,83792.6912568306
Gulf of Boothia,2017,74.14804543935851,85.13531573671901,76001.74657534246,87263.69863013699
Gulf of Boothia,2018,78.71213498162379,89.56398262612764,80679.93835616438,91803.08219178082
Gulf of Boothia,2019,70.34521884396926,80.64316739057801,72103.8493150685,82659.24657534246
Gulf of Boothia,2020,69.94744768759163,79.65147274423565,71696.13387978142,81642.75956284153
Gulf of Boothia,2021,71.71048446374874,82.98028733711995,73503.24657534246,85054.79452054795
Gulf of Boothia,2022,72.1645238890745,82.27530905446041,73968.63698630137,84332.19178082192
Gulf of Boothia,2023,68.47611760775142,79.80788506515202,70188.02054794521,81803.08219178082
Gulf of Boothia,2024,67.3723843795815,77.09083033453285,69056.69398907103,79018.10109289618
Gulf of Boothia,2025,64.31104744403609,73.77297026394922,65918.82363013699,75617.29452054795
Hudson Bay,1979,51.73115244950081,62.067517993963314,476896.5616438356,572184.9315068494
Hudson Bay,1980,52.74682745207002,62.413262943410196,486259.8155737705,575372.2677595628
Hudson Bay,1981,51.91957278848386,61.364662177850015,478633.5616438356,565705.4794520548
Hudson Bay,1982,54.787702623635944,64.40863710239145,505074.13356164383,593767.1232876712
Hudson Bay,1983,54.93340924077084,64.60032505224054,506417.36643835617,595534.2465753425
Hudson Bay,1984,53.54360729832361,63.526905621932016,493605.12978142075,585638.6612021858
Hudson Bay,1985,55.727870350592056,64.63895983283028,513741.30479452055,595890.4109589041
Hudson Bay,1986,58.095410448107735,67.60529370791734,535567.0650684931,623236.301369863
Hudson Bay,1988,51.21606911972903,60.10243586181346,472148.137197502,554069.3306010929
Hudson Bay,1989,55.07451274669143,63.475087067564424,507718.16438356164,585160.9589041095
Hudson Bay,1990,51.34432393777571,61.69714418388669,473330.48630136985,568770.5479452055
Hudson Bay,1991,53.09022595774321,61.738750870675645,489425.5205479452,569154.1095890411
Hudson Bay,1992,58.69769306288784,68.59683245345929,541119.3579234972,632377.0491803279
Hudson Bay,1993,54.2337775713954,63.618667285813785,499967.6369863014,586484.5890410959
Hudson Bay,1994,52.37674780589738,60.93485024378918,482848.1438356164,561743.1506849315
Hudson Bay,1995,51.61285423728813,60.41272347341537,475806.0,556929.794520548
Hudson Bay,1996,51.32636473094379,60.526627766972304,473164.924863388,557979.849726776
Hudson Bay,1997,51.59606445321569,60.64880427211516,475651.2191780822,559106.1643835617
Hudson Bay,1998,43.05685739493847,51.94074762015324,396930.40410958906,478828.76712328766
Hudson Bay,1999,43.07478839099141,52.53085674483398,397095.70547945204,484268.83561643836
Hudson Bay,2000,50.06850347318699,60.11299435028248,461569.01639344264,554166.6666666666
Hudson Bay,2001,44.924289575110286,53.71274669143255,414145.79452054796,495164.38356164383
Hudson Bay,2002,52.084449686556766,61.322684002786154,480153.5205479452,565318.493150685
Hudson Bay,2003,48.52074929185048,57.50378453680055,447300.65753424657,530113.0136986302
Hudson Bay,2004,53.93766935259794,63.32203389830508,497237.8893442623,583750.0
