date,region,ice_coverage,total_water_pixel_count,valid_water_pixel_count,total_pixel_area_km2,total_water_area_km2,valid_water_area_km2,absolute_ice_area_km2,relative_ice_area_km2,absolute_coverage_percent_of_water,relative_coverage_percent_of_water
1996-12-31,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,204807.5,100.0,96.09736070381231
1996-12-31,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,150415.0,100.0,79.42706270627062
1996-12-31,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1355732.5,99.86870897155362,94.9309409190372
1996-12-20,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,871250.0,758824.9999999999,94.50847457627118,82.31322033898304
1996-12-20,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,98365.00000000001,100.0,95.9658536585366
1996-12-20,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,187555.0,100.0,88.00234604105572
1996-12-20,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,152500.0,82832.49999999999,80.52805280528052,43.73993399339933
1996-12-20,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1340625.0,1128392.5,93.8730853391685,79.01216630196937
1996-12-26,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,860150.0,99.79661016949153,93.30440677966102
1996-12-26,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,100252.5,100.0,97.80731707317074
1996-12-26,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,198157.5,100.0,92.97712609970674
1996-12-26,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,129535.0,100.0,68.4013201320132
1996-12-26,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1289117.4999999998,99.86870897155362,90.26643326039385
1996-12-12,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,773750.0,529482.5,83.9322033898305,57.43538983050848
1996-12-12,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,96727.5,100.0,94.36829268292682
1996-12-12,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,172735.00000000003,100.0,81.04868035190617
1996-12-12,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,133125.0,48502.50000000001,70.29702970297029,25.61188118811882
1996-12-12,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1223750.0,848147.5,85.68927789934354,59.388884026258204
1996-12-02,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,477500.0,305072.5,51.79661016949153,33.09261016949153
1996-12-02,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,97235.00000000001,100.0,94.86341463414635
1996-12-02,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,182282.50000000003,100.0,85.5284457478006
1996-12-02,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,88125.0,33417.5,46.53465346534654,17.646204620462047
1996-12-02,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,882500.0,618622.5,61.794310722100654,43.31711159737418
1996-12-28,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,878492.5000000001,99.79661016949153,95.29410169491527
1996-12-28,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,99495.0,100.0,97.06829268292682
1996-12-28,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,197775.0,100.0,92.79765395894428
